condition,seed,baseline,metric,condition_file,baseline_file,n,delta,ci95_low,ci95_high,gained,lost,tied_correct,tied_wrong,mcnemar_p_approx
additive,123,nl_relay,word_boundary_contains,h1_additive_fwd_seed123.json,h1_nl_relay_fwd_deterministic.json,396,0.005050505050505051,-0.03282828282828283,0.04292929292929293,30,28,5,333,0.8955329031670437
additive,123,nl_relay,legacy_contains,h1_additive_fwd_seed123.json,h1_nl_relay_fwd_deterministic.json,396,0.015151515151515152,-0.025252525252525252,0.05555555555555555,35,29,7,325,0.5319710580974011
additive,123,nl_relay,normalized_exact_match,h1_additive_fwd_seed123.json,h1_nl_relay_fwd_deterministic.json,396,0,0.0,0.0,0,0,0,396,1.0
additive,123,no_inject,word_boundary_contains,h1_additive_fwd_seed123.json,h1_no_inject_fwd_deterministic.json,396,0,-0.012626262626262626,0.012626262626262626,4,4,31,357,1.0
additive,123,no_inject,legacy_contains,h1_additive_fwd_seed123.json,h1_no_inject_fwd_deterministic.json,396,0.0025252525252525255,-0.015151515151515152,0.020202020202020204,6,5,36,349,1.0
additive,123,no_inject,normalized_exact_match,h1_additive_fwd_seed123.json,h1_no_inject_fwd_deterministic.json,396,0,0.0,0.0,0,0,0,396,1.0
additive,42,nl_relay,word_boundary_contains,h1_additive_fwd_seed42.json,h1_nl_relay_fwd_deterministic.json,396,0.005050505050505051,-0.03282828282828283,0.04292929292929293,30,28,5,333,0.8955329031670437
additive,42,nl_relay,legacy_contains,h1_additive_fwd_seed42.json,h1_nl_relay_fwd_deterministic.json,396,0.012626262626262626,-0.025252525252525252,0.050505050505050504,34,29,7,326,0.6142946646634824
additive,42,nl_relay,normalized_exact_match,h1_additive_fwd_seed42.json,h1_nl_relay_fwd_deterministic.json,396,0,0.0,0.0,0,0,0,396,1.0
additive,42,no_inject,word_boundary_contains,h1_additive_fwd_seed42.json,h1_no_inject_fwd_deterministic.json,396,0,-0.015151515151515152,0.015151515151515152,5,5,30,356,1.0
additive,42,no_inject,legacy_contains,h1_additive_fwd_seed42.json,h1_no_inject_fwd_deterministic.json,396,0,-0.015151515151515152,0.015151515151515152,5,5,36,350,1.0
additive,42,no_inject,normalized_exact_match,h1_additive_fwd_seed42.json,h1_no_inject_fwd_deterministic.json,396,0,0.0,0.0,0,0,0,396,1.0
additive,456,nl_relay,word_boundary_contains,h1_additive_fwd_seed456.json,h1_nl_relay_fwd_deterministic.json,396,0.017676767676767676,-0.020202020202020204,0.05808080808080808,34,27,6,329,0.4423557332951405
