condition,direction,runs,seeds,n,exact_match_acc_mean,exact_match_acc_std,normalized_exact_match_acc_mean,normalized_exact_match_acc_std,word_boundary_contains_acc_mean,word_boundary_contains_acc_std,first_answer_span_match_acc_mean,first_answer_span_match_acc_std,legacy_contains_acc_mean,legacy_contains_acc_std
additive,fwd,3,"[123, 42, 456]",396,0.0,0.0,0.0,0.0,0.09259259259259259,0.007289776126131638,0.0,0.0,0.10942760942760943,0.008117551145616965
b_to_b_self_inject,fwd,1,[None],396,0.0,0.0,0.0,0.0,0.08838383838383838,0.0,0.0,0.0,0.10353535353535354,0.0
best_alpha,fwd,3,"[123, 42, 456]",396,0.0,0.0,0.0,0.0,0.04882154882154882,0.011933877844072243,0.0,0.0,0.07154882154882154,0.012710158981937288
nl_relay,fwd,1,[None],396,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.027777777777777776,0.0,0.09090909090909091,0.0
no_inject,fwd,1,[None],396,0.0,0.0,0.0,0.0,0.08838383838383838,0.0,0.0,0.0,0.10353535353535354,0.0
replace,fwd,3,"[123, 42, 456]",396,0.0,0.0,0.0,0.0,0.0025252525252525255,0.0025252525252525255,0.0,0.0,0.010101010101010102,0.0043738656756789835
same_norm_random,fwd,3,"[123, 42, 456]",396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008417508417508418,0.0014579552252263278
scale_corrected,fwd,3,"[123, 42, 456]",396,0.0,0.0,0.0,0.0,0.007575757575757576,0.0025252525252525255,0.0,0.0,0.01430976430976431,0.005256732321884174
shuffled_translation,fwd,3,"[123, 42, 456]",396,0.0,0.0,0.0,0.0,0.005892255892255893,0.0038573869486160273,0.0,0.0,0.009259259259259259,0.005256732321884174
zero_replacement,fwd,1,[None],396,0.0,0.0,0.0,0.0,0.0025252525252525255,0.0,0.0,0.0,0.0025252525252525255,0.0
