path,condition,direction,seed,deterministic,n,clean_eval_hash,checkpoint,exact_match_acc,normalized_exact_match_acc,word_boundary_contains_acc,first_answer_span_match_acc,legacy_contains_acc
papers\h1_activation_transfer\results\final\h1_additive_fwd_seed123.json,additive,fwd,123,False,396,504e077cf17433e22967c86e98d321532d4e803dbe24d96af14c7e8ecdd0dcbb,results\phase1\checkpoints\m6_translation_fwd_seed123.pt,0.0,0.0,0.08838383838383838,0.0,0.10606060606060606
papers\h1_activation_transfer\results\final\h1_additive_fwd_seed42.json,additive,fwd,42,False,396,504e077cf17433e22967c86e98d321532d4e803dbe24d96af14c7e8ecdd0dcbb,results\phase1\checkpoints\m6_translation_fwd_seed42.pt,0.0,0.0,0.08838383838383838,0.0,0.10353535353535354
papers\h1_activation_transfer\results\final\h1_additive_fwd_seed456.json,additive,fwd,456,False,396,504e077cf17433e22967c86e98d321532d4e803dbe24d96af14c7e8ecdd0dcbb,results\phase1\checkpoints\m6_translation_fwd_seed456.pt,0.0,0.0,0.10101010101010101,0.0,0.11868686868686869
papers\h1_activation_transfer\results\final\h1_b_to_b_self_inject_fwd_deterministic.json,b_to_b_self_inject,fwd,,True,396,504e077cf17433e22967c86e98d321532d4e803dbe24d96af14c7e8ecdd0dcbb,,0.0,0.0,0.08838383838383838,0.0,0.10353535353535354
papers\h1_activation_transfer\results\final\h1_best_alpha_fwd_seed123_alpha0p3.json,best_alpha,fwd,123,False,396,504e077cf17433e22967c86e98d321532d4e803dbe24d96af14c7e8ecdd0dcbb,results\phase1\checkpoints\m6_translation_fwd_seed123.pt,0.0,0.0,0.05808080808080808,0.0,0.08333333333333333
papers\h1_activation_transfer\results\final\h1_best_alpha_fwd_seed42_alpha0p3.json,best_alpha,fwd,42,False,396,504e077cf17433e22967c86e98d321532d4e803dbe24d96af14c7e8ecdd0dcbb,results\phase1\checkpoints\m6_translation_fwd_seed42.pt,0.0,0.0,0.03535353535353535,0.0,0.05808080808080808
papers\h1_activation_transfer\results\final\h1_best_alpha_fwd_seed456_alpha0p3.json,best_alpha,fwd,456,False,396,504e077cf17433e22967c86e98d321532d4e803dbe24d96af14c7e8ecdd0dcbb,results\phase1\checkpoints\m6_translation_fwd_seed456.pt,0.0,0.0,0.05303030303030303,0.0,0.07323232323232323
papers\h1_activation_transfer\results\final\h1_nl_relay_fwd_deterministic.json,nl_relay,fwd,,True,396,504e077cf17433e22967c86e98d321532d4e803dbe24d96af14c7e8ecdd0dcbb,,0.0,0.0,0.08333333333333333,0.027777777777777776,0.09090909090909091
papers\h1_activation_transfer\results\final\h1_no_inject_fwd_deterministic.json,no_inject,fwd,,True,396,504e077cf17433e22967c86e98d321532d4e803dbe24d96af14c7e8ecdd0dcbb,,0.0,0.0,0.08838383838383838,0.0,0.10353535353535354
papers\h1_activation_transfer\results\final\h1_replace_fwd_seed123.json,replace,fwd,123,False,396,504e077cf17433e22967c86e98d321532d4e803dbe24d96af14c7e8ecdd0dcbb,results\phase1\checkpoints\m6_translation_fwd_seed123.pt,0.0,0.0,0.0025252525252525255,0.0,0.007575757575757576
