condition,baseline,metric,runs,seeds,n_per_run,n_pooled,delta_mean,ci95_low_pooled,ci95_high_pooled,ci95_method,gained_mean,lost_mean,gained_total,lost_total,mcnemar_p_approx_min
additive,nl_relay,legacy_contains,3,"[42, 123, 456]",396,1188,0.018518518518518517,-0.003367003367003367,0.04292929292929293,pooled_percentile_bootstrap,36,28.666666666666668,108,86,0.22182319830680594
additive,nl_relay,normalized_exact_match,3,"[42, 123, 456]",396,1188,0,0.0,0.0,pooled_percentile_bootstrap,0,0,0,0,1.0
additive,nl_relay,word_boundary_contains,3,"[42, 123, 456]",396,1188,0.009259259259259259,-0.012626262626262626,0.031144781144781145,pooled_percentile_bootstrap,31.333333333333332,27.666666666666668,94,83,0.4423557332951405
additive,no_inject,legacy_contains,3,"[42, 123, 456]",396,1188,0.005892255892255892,-0.003367003367003367,0.015151515151515152,pooled_percentile_bootstrap,6.333333333333333,4,19,12,0.11384629800665803
additive,no_inject,normalized_exact_match,3,"[42, 123, 456]",396,1188,0,0.0,0.0,pooled_percentile_bootstrap,0,0,0,0,1.0
additive,no_inject,word_boundary_contains,3,"[42, 123, 456]",396,1188,0.004208754208754209,-0.004208754208754209,0.012626262626262626,pooled_percentile_bootstrap,5.333333333333333,3.6666666666666665,16,11,0.18242243945173575
b_to_b_self_inject,nl_relay,legacy_contains,1,[None],396,396,0.012626262626262626,-0.027777777777777776,0.05303030303030303,pooled_percentile_bootstrap,35,30,35,30,0.6197963884941331
b_to_b_self_inject,nl_relay,normalized_exact_match,1,[None],396,396,0,0.0,0.0,pooled_percentile_bootstrap,0,0,0,0,1.0
b_to_b_self_inject,nl_relay,word_boundary_contains,1,[None],396,396,0.005050505050505051,-0.03282828282828283,0.04292929292929293,pooled_percentile_bootstrap,30,28,30,28,0.8955329031670437
b_to_b_self_inject,no_inject,legacy_contains,1,[None],396,396,0,0.0,0.0,pooled_percentile_bootstrap,0,0,0,0,1.0
b_to_b_self_inject,no_inject,normalized_exact_match,1,[None],396,396,0,0.0,0.0,pooled_percentile_bootstrap,0,0,0,0,1.0
b_to_b_self_inject,no_inject,word_boundary_contains,1,[None],396,396,0,0.0,0.0,pooled_percentile_bootstrap,0,0,0,0,1.0
best_alpha,nl_relay,legacy_contains,3,"[42, 123, 456]",396,1188,-0.01936026936026936,-0.03956228956228956,0.0,pooled_percentile_bootstrap,21,28.666666666666668,63,86,0.08005278235757937
best_alpha,nl_relay,normalized_exact_match,3,"[42, 123, 456]",396,1188,0,0.0,0.0,pooled_percentile_bootstrap,0,0,0,0,1.0
best_alpha,nl_relay,word_boundary_contains,3,"[42, 123, 456]",396,1188,-0.034511784511784514,-0.05387205387205387,-0.015151515151515152,pooled_percentile_bootstrap,15.666666666666666,29.333333333333332,47,88,0.004936818556325082
best_alpha,no_inject,legacy_contains,3,"[42, 123, 456]",396,1188,-0.03198653198653199,-0.047979797979797977,-0.015993265993265993,pooled_percentile_bootstrap,9.333333333333334,22,28,66,0.0035514648077060716
best_alpha,no_inject,normalized_exact_match,3,"[42, 123, 456]",396,1188,0,0.0,0.0,pooled_percentile_bootstrap,0,0,0,0,1.0
best_alpha,no_inject,word_boundary_contains,3,"[42, 123, 456]",396,1188,-0.03956228956228956,-0.054713804713804715,-0.02441077441077441,pooled_percentile_bootstrap,6.333333333333333,22,19,66,0.00011860013866224713
replace,nl_relay,legacy_contains,3,"[42, 123, 456]",396,1188,-0.08080808080808081,-0.09764309764309764,-0.06397306397306397,pooled_percentile_bootstrap,2.6666666666666665,34.666666666666664,8,104,1.4345526239753827e-07
replace,nl_relay,normalized_exact_match,3,"[42, 123, 456]",396,1188,0,0.0,0.0,pooled_percentile_bootstrap,0,0,0,0,1.0
replace,nl_relay,word_boundary_contains,3,"[42, 123, 456]",396,1188,-0.08080808080808081,-0.0968013468013468,-0.06481481481481481,pooled_percentile_bootstrap,0.6666666666666666,32.666666666666664,2,98,2.5403120142884282e-08
replace,no_inject,legacy_contains,3,"[42, 123, 456]",396,1188,-0.09343434343434344,-0.11195286195286196,-0.07575757575757576,pooled_percentile_bootstrap,3,40,9,120,4.909419192794697e-09
replace,no_inject,normalized_exact_match,3,"[42, 123, 456]",396,1188,0,0.0,0.0,pooled_percentile_bootstrap,0,0,0,0,1.0
